Frame 2: X=1091, Y=231, Radius=34
Frame 2: X=1585, Y=223, Radius=36
Frame 2: X=1135, Y=222, Radius=19
Frame 2: X=1188, Y=460, Radius=622
Frame 2: X=1189, Y=223, Radius=25
Frame 2: X=1297, Y=217, Radius=14
Frame 2: X=1330, Y=218, Radius=16
Frame 2: X=1409, Y=214, Radius=20
Frame 2: X=539, Y=264, Radius=63
Frame 2: X=962, Y=220, Radius=26
Frame 2: X=915, Y=180, Radius=13
Frame 2: X=1251, Y=158, Radius=86
Frame 2: X=1377, Y=149, Radius=37
Frame 2: X=810, Y=149, Radius=43
Frame 2: X=1699, Y=147, Radius=24
Frame 2: X=910, Y=151, Radius=11
Frame 2: X=1449, Y=145, Radius=32
Frame 2: X=1092, Y=128, Radius=49
Frame 2: X=1672, Y=126, Radius=65
Frame 2: X=1274, Y=137, Radius=333
Frame 2: X=972, Y=121, Radius=6
Frame 2: X=1642, Y=115, Radius=102
Frame 2: X=1236, Y=106, Radius=9
Frame 2: X=1012, Y=111, Radius=16
Frame 2: X=1328, Y=93, Radius=10
Frame 2: X=951, Y=95, Radius=18
Frame 2: X=1240, Y=87, Radius=12
Frame 2: X=1207, Y=89, Radius=21
Frame 2: X=1368, Y=83, Radius=24
Frame 2: X=1255, Y=66, Radius=11
Frame 2: X=1347, Y=67, Radius=11
Frame 2: X=719, Y=110, Radius=68
Frame 2: X=684, Y=152, Radius=216
Frame 2: X=1684, Y=64, Radius=20
Frame 2: X=1216, Y=55, Radius=10
Frame 2: X=1221, Y=90, Radius=77
Frame 2: X=1158, Y=81, Radius=40
Frame 2: X=1325, Y=45, Radius=17
Frame 2: X=1292, Y=39, Radius=11
Frame 2: X=1241, Y=31, Radius=12
Frame 2: X=1166, Y=25, Radius=9
Frame 2: X=1261, Y=25, Radius=16
Frame 2: X=1147, Y=70, Radius=58
Frame 2: X=971, Y=20, Radius=10
Frame 2: X=1176, Y=15, Radius=19
Frame 2: X=1206, Y=17, Radius=19
Frame 2: X=1747, Y=45, Radius=45
Frame 2: X=1582, Y=48, Radius=48
Frame 2: X=1654, Y=52, Radius=97
Frame 2: X=1426, Y=93, Radius=143
Frame 2: X=1469, Y=32, Radius=32
Frame 2: X=1383, Y=32, Radius=53
Frame 2: X=1335, Y=16, Radius=19
Frame 2: X=1342, Y=27, Radius=38
Frame 2: X=1130, Y=4, Radius=17
Frame 2: X=1085, Y=22, Radius=22
Frame 2: X=1046, Y=41, Radius=41
Frame 2: X=982, Y=24, Radius=24
Frame 2: X=958, Y=8, Radius=10
Frame 2: X=992, Y=69, Radius=85
Frame 2: X=1348, Y=108, Radius=430
Frame 2: X=896, Y=13, Radius=13
Frame 2: X=903, Y=24, Radius=29
Frame 2: X=860, Y=21, Radius=21
Frame 2: X=496, Y=21, Radius=21
Frame 3: X=1339, Y=1065, Radius=14
Frame 3: X=285, Y=1059, Radius=19
Frame 3: X=1677, Y=1053, Radius=69
Frame 3: X=1109, Y=1054, Radius=24
Frame 3: X=1751, Y=1052, Radius=27
Frame 3: X=110, Y=1050, Radius=28
Frame 3: X=1553, Y=1023, Radius=30
Frame 3: X=1501, Y=1024, Radius=46
Frame 3: X=1488, Y=1017, Radius=28
Frame 3: X=1416, Y=1010, Radius=26
Frame 3: X=665, Y=1013, Radius=27
Frame 3: X=1700, Y=986, Radius=27
Frame 3: X=1599, Y=1006, Radius=28
Frame 3: X=1050, Y=983, Radius=23
Frame 3: X=1641, Y=981, Radius=30
Frame 3: X=1365, Y=992, Radius=14
Frame 3: X=1003, Y=978, Radius=21
Frame 3: X=661, Y=1027, Radius=52
Frame 3: X=946, Y=973, Radius=34
Frame 3: X=772, Y=1025, Radius=110
Frame 3: X=980, Y=969, Radius=61
Frame 3: X=468, Y=1019, Radius=60
Frame 3: X=288, Y=989, Radius=48
Frame 3: X=1485, Y=1045, Radius=131
Frame 3: X=616, Y=943, Radius=75
Frame 3: X=1533, Y=935, Radius=22
Frame 3: X=623, Y=937, Radius=80
Frame 3: X=114, Y=970, Radius=44
Frame 3: X=1420, Y=925, Radius=12
Frame 3: X=1345, Y=990, Radius=72
Frame 3: X=873, Y=918, Radius=75
Frame 3: X=325, Y=913, Radius=49
Frame 3: X=313, Y=911, Radius=36
Frame 3: X=877, Y=913, Radius=76
Frame 3: X=1212, Y=1016, Radius=117
Frame 3: X=1258, Y=927, Radius=90
Frame 3: X=1135, Y=904, Radius=34
Frame 3: X=575, Y=898, Radius=25
Frame 3: X=216, Y=898, Radius=17
Frame 3: X=1048, Y=902, Radius=41
Frame 3: X=989, Y=1013, Radius=123
Frame 3: X=592, Y=893, Radius=21
Frame 3: X=510, Y=893, Radius=38
Frame 3: X=23, Y=892, Radius=15
Frame 3: X=504, Y=886, Radius=23
Frame 3: X=913, Y=889, Radius=70
Frame 3: X=281, Y=881, Radius=25
Frame 3: X=782, Y=875, Radius=49
Frame 3: X=713, Y=873, Radius=18
Frame 3: X=421, Y=895, Radius=421
Frame 3: X=615, Y=864, Radius=65
Frame 3: X=484, Y=855, Radius=62
Frame 3: X=380, Y=855, Radius=25
Frame 3: X=1661, Y=819, Radius=26
Frame 3: X=32, Y=821, Radius=33
Frame 3: X=1659, Y=807, Radius=24
Frame 3: X=99, Y=809, Radius=32
Frame 3: X=1431, Y=804, Radius=24
Frame 3: X=1187, Y=790, Radius=33
Frame 3: X=536, Y=809, Radius=28
Frame 3: X=259, Y=781, Radius=29
Frame 3: X=959, Y=778, Radius=72
Frame 3: X=1210, Y=771, Radius=52
Frame 3: X=1626, Y=780, Radius=33
Frame 3: X=1497, Y=771, Radius=31
Frame 3: X=991, Y=925, Radius=767
Frame 3: X=947, Y=740, Radius=11
Frame 3: X=1264, Y=744, Radius=17
Frame 3: X=1147, Y=753, Radius=29
Frame 3: X=957, Y=742, Radius=33
Frame 3: X=1732, Y=782, Radius=62
Frame 3: X=953, Y=736, Radius=29
Frame 3: X=1056, Y=721, Radius=33
Frame 3: X=965, Y=717, Radius=31
Frame 3: X=1180, Y=660, Radius=89
Frame 3: X=478, Y=646, Radius=72
Frame 3: X=625, Y=627, Radius=75
Frame 3: X=866, Y=524, Radius=9
Frame 3: X=894, Y=505, Radius=14
Frame 3: X=875, Y=494, Radius=6
Frame 3: X=828, Y=511, Radius=28
Frame 3: X=882, Y=512, Radius=31
Frame 3: X=817, Y=510, Radius=30
Frame 3: X=844, Y=511, Radius=33
Frame 3: X=807, Y=510, Radius=32
Frame 3: X=858, Y=462, Radius=12
Frame 3: X=896, Y=451, Radius=7
Frame 3: X=562, Y=473, Radius=33
Frame 3: X=555, Y=473, Radius=33
Frame 3: X=568, Y=472, Radius=33
Frame 3: X=547, Y=472, Radius=33
